Critter{camera=Camera{pos=(4.3825765; 2.0623832; -11.607909), front=(-0.0060155992; 9.969658E-4; 0.9999814), up=(5.99735E-6; 0.9999995; -9.969478E-4), right=(0.99998194; -0.0; 0.0060156025)}, model=Model{modelFileName=icosphere.obj, texture=marble.png, pos=(4.3825765; 2.0123856; -11.607909), scale=0.05, color=(1.0; 1.0; 1.0; 1.0), passable=false}}
Block{texture=stone.png, pos=(2.249; 2.001; -13.007999), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(0.24800014; 0.0; -5.0039997), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(4.25; -2.001; -3.0029998), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(8.252; 2.001; -3.0029998), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(8.252; 0.0; -3.0029998), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(0.24800014; 2.001; -3.0029998), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(2.249; -2.001; -3.0029998), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(0.24800014; 0.0; -3.0029998), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(6.251; -2.001; -3.0029998), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(0.24800014; 2.001; -1.0019999), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(0.24800014; 0.0; -1.0019999), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(8.252; 0.0; -1.0019999), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(2.249; -2.001; -1.0019999), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(8.252; 2.001; -1.0019999), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(6.251; -2.001; -1.0019999), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(4.25; -2.001; -1.0019999), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(0.24800014; 2.001; 0.9990001), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(4.25; -2.001; 0.9990001), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(8.252; 2.001; 0.9990001), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=doom.png, pos=(4.25; 2.001; 0.9990001), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(6.251; 0.0; 0.9990001), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(8.252; 0.0; 0.9990001), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(0.24800014; 0.0; 0.9990001), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(2.249; -2.001; 0.9990001), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(6.251; -2.001; 0.9990001), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=crate.png, pos=(2.249; 2.001; 0.9990001), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=crate.png, pos=(6.251; 2.001; 0.9990001), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(2.249; 0.0; 0.9990001), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=doom.png, pos=(8.5; 4.25; 3.0), scale=1.0, color=(1.25; 0.75; 0.0; 1.0), passable=false}
Block{texture=doom.png, pos=(8.5; 0.0; 3.0), scale=1.0, color=(1.25; 0.25; 0.0; 1.0), passable=false}
Block{texture=doom.png, pos=(8.5; 8.5; 3.0), scale=1.0, color=(1.25; 1.25; 0.0; 1.0), passable=false}
Block{texture=doom.png, pos=(4.25; 8.5; 3.0), scale=1.0, color=(0.75; 1.25; 0.0; 1.0), passable=false}
Block{texture=doom.png, pos=(4.25; 4.25; 3.0), scale=1.0, color=(0.75; 0.75; 0.0; 1.0), passable=false}
Block{texture=doom.png, pos=(4.25; 0.0; 3.0), scale=1.0, color=(0.75; 0.25; 0.0; 1.0), passable=false}
Block{texture=doom.png, pos=(0.0; 0.0; 3.0), scale=1.0, color=(0.25; 0.25; 0.0; 1.0), passable=false}
Block{texture=doom.png, pos=(0.0; 4.25; 3.0), scale=1.0, color=(0.25; 0.75; 0.0; 1.0), passable=false}
Block{texture=doom.png, pos=(0.0; 8.5; 3.0), scale=1.0, color=(0.25; 1.25; 0.0; 1.0), passable=false}
Block{texture=water.png, pos=(4.25; 2.001; -11.007), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(4.25; 4.002; -11.007), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(2.249; 2.001; -11.007), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(6.251; 2.001; -11.007), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(4.25; 2.001; -9.006), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(6.251; 2.001; -9.006), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(2.249; 2.001; -9.006), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(4.25; 4.002; -9.006), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(4.25; 2.001; -7.0049996), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(6.251; 2.001; -5.0039997), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(2.249; 2.001; -5.0039997), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(4.25; 2.001; -5.0039997), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(6.251; 0.0; -5.0039997), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(4.25; 0.0; -5.0039997), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(2.249; 0.0; -5.0039997), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(4.25; 2.001; -3.0029998), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(2.249; 2.001; -3.0029998), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(6.251; 0.0; -3.0029998), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(2.249; 0.0; -3.0029998), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(6.251; 2.001; -3.0029998), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(4.25; 0.0; -3.0029998), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(4.25; 0.0; -1.0019999), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(2.249; 2.001; -1.0019999), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(2.249; 0.0; -1.0019999), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(6.251; 2.001; -1.0019999), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(6.251; 0.0; -1.0019999), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(4.25; 2.001; -1.0019999), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
Block{texture=water.png, pos=(4.25; 0.0; 0.9990001), scale=1.0, color=(1.0; 1.0; 1.0; 0.5), passable=true}
